0	-0	0	0	0	0	0
1	0.772349	-0.0092871	0.0190053	0.00120056	0.0516344	0.00131202
2	1.61578	-0.0696435	0.0267355	0.0113391	0.0741337	0.00506503
3	2.41625	-0.129296	0.0327576	0.000165846	0.0869227	0.00747633
4	3.21742	-0.196644	0.0392211	-0.00105549	0.0947681	0.00678399
5	4.02756	-0.283478	0.0448536	0.00903587	0.101714	0.00916216
6	4.81395	-0.369999	0.0640628	0.0112429	0.109193	0.00691784
7	5.59275	-0.45979	0.0694788	0.0108201	0.111621	0.00360862
8	6.3754	-0.526046	0.0858605	0.00500874	0.0532019	0.000125781
9	7.14745	-0.571053	0.108467	0.00945119	0.0542319	0.0130902
10	7.90945	-0.598804	0.131759	0.0106627	0.0533951	0.00372803
11	8.66414	-0.618922	0.154693	-0.00116841	0.0536373	-0.00287148
12	9.43684	-0.614053	0.171145	-0.00732041	0.00386954	-0.0158979
13	10.2146	-0.60197	0.185947	-0.00539231	0.0127932	-0.0176925
14	10.9809	-0.613935	0.205583	-0.0101047	0.0236607	-0.0142909
15	11.7637	-0.615403	0.2202	-0.00146061	0.0354638	-0.015238
16	12.5231	-0.635077	0.231425	-0.00977747	0.049775	-0.0176696
17	13.2832	-0.680115	0.240919	-0.0214924	0.067502	-0.00448992
18	14.0771	-0.724942	0.245043	-0.0158353	0.0295409	-0.0012156
19	14.8538	-0.738404	0.2488	-0.0323857	0.0233282	0.00497444
20	15.6366	-0.751334	0.254488	-0.0179252	0.0356756	0.00942288
21	16.4431	-0.765184	0.245955	-0.0281623	0.0423994	0.00550817
22	17.2474	-0.783702	0.193338	-0.0231063	0.0503162	0.00259988
23	18.0141	-0.819232	0.240679	-0.0257847	0.0594367	0.00388349
24	18.8056	-0.851535	0.271466	-0.0270101	0.0636723	0.00347718
25	19.6239	-0.84472	0.305506	-0.0343738	-0.0238553	-0.0070871
26	20.3686	-0.804877	0.31424	-0.0350506	-0.0314203	-0.0104259
27	21.1477	-0.769779	0.305734	-0.0444274	-0.0221902	-0.00717324
28	21.9338	-0.744699	0.289376	-0.0450253	-0.0133078	-0.00213865
29	22.7086	-0.714062	0.275408	-0.040209	-0.00647401	-0.00391755
30	23.4721	-0.691428	0.266601	-0.0493283	-0.00717607	-0.00248871
31	24.2992	-0.657767	0.260856	-0.038766	-0.00419091	-0.00987374
32	25.0893	-0.653569	0.255536	-0.0400103	0.000259047	-0.00106475
33	25.8512	-0.622778	0.245752	-0.0431508	-0.00235836	-0.0128304
34	26.617	-0.605315	0.241896	-0.0418889	0.00448218	-0.0136597
35	27.4156	-0.607889	0.234705	-0.0438152	0.0184766	-0.00694615
36	28.178	-0.610742	0.23481	-0.0401426	0.0184119	-0.00363682
37	28.9679	-0.609744	0.234904	-0.0452643	0.0154247	-0.00681895
38	29.7419	-0.607172	0.230041	-0.0468475	0.0187002	-0.00786163
39	30.5253	-0.609256	0.23596	-0.024125	0.0344666	-0.00197205
